BUS_ID,TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,timestamp
17,1,9.116944313049316,5.800000190734863,0.0,0.0,-9.116944313049316,-5.800000190734863,1.0395827293395996,34.30622863769531,33.0,82.33097076416016,1.4369460344314575,1.8083013628711342e-06,1997-11-03 02:30:00
18,1,3.2415802478790283,0.8999999761581421,0.0,0.0,-3.2415802478790283,-0.8999999761581421,1.0277099609375,33.9144287109375,33.0,81.64004516601562,1.4248870611190796,4.3816526158479974e-05,1997-11-03 02:30:00
19,1,9.623441696166992,3.4000000953674316,0.0,0.0,-9.623441696166992,-3.4000000953674316,1.0251924991607666,33.831356048583984,33.0,81.46343231201172,1.421804666519165,4.1584804421290755e-05,1997-11-03 02:30:00
20,1,2.228586435317993,0.699999988079071,0.0,0.0,-2.228586435317993,-0.699999988079071,1.029313087463379,33.96733474731445,33.0,81.66329956054688,1.42529296875,2.7687705369316973e-05,1997-11-03 02:30:00
21,1,17.727392196655273,11.199999809265137,0.0,0.0,-17.727392196655273,-11.199999809265137,1.0323525667190552,34.06763458251953,33.0,82.04483032226562,1.431951880455017,7.416228618239984e-05,1997-11-03 02:30:00
22,1,0.0,0.0,0.0,0.0,0.0,0.0,1.032885193824768,34.08521270751953,33.0,82.05943298339844,1.4322067499160767,3.790665869018994e-05,1997-11-03 02:30:00
23,1,3.2415802478790283,1.600000023841858,0.0,0.0,-3.2415802478790283,-1.600000023841858,1.02674400806427,33.88255310058594,33.0,81.86632537841797,1.428836464881897,2.1158861272851937e-05,1997-11-03 02:30:00
24,1,8.8130464553833,6.700000286102295,0.0,0.0,-8.8130464553833,-6.700000286102295,1.0211114883422852,33.696678161621094,33.0,81.68629455566406,1.4256943464279175,1.8662040019989945e-05,1997-11-03 02:30:00
25,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0168870687484741,33.55727005004883,33.0,82.11872863769531,1.4332417249679565,1.862645149230957e-07,1997-11-03 02:30:00
26,1,3.545478343963623,2.299999952316284,0.0,0.0,-3.545478343963623,-2.299999952316284,0.9990823864936829,32.96971893310547,33.0,81.68889617919922,1.4257397651672363,1.1780401791838813e-06,1997-11-03 02:30:00
27,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0228674411773682,33.7546272277832,33.0,82.65141296386719,1.4425387382507324,1.4975771591707598e-05,1997-11-03 02:30:00
28,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0065633058547974,132.86634826660156,132.0,86.5599594116211,1.5107557773590088,4.530173464445397e-05,1997-11-03 02:30:00
29,1,2.431185245513916,0.8999999761581421,0.0,0.0,-2.431185245513916,-0.8999999761581421,1.0028258562088013,33.09325408935547,33.0,81.40201568603516,1.4207327365875244,7.679882969569007e-07,1997-11-03 02:30:00
30,1,10.7377347946167,1.899999976158142,0.0,0.0,-10.7377347946167,-1.899999976158142,0.991222083568573,32.7103271484375,33.0,80.50560760498047,1.4050874710083008,4.899854502582457e-06,1997-11-03 02:30:00
31,2,0.0,0.0,0.14195890724658966,-119.89097595214844,0.14195890724658966,-119.89097595214844,1.0,132.0,132.0,99.08349609375,1.729332685470581,0.0,1997-11-03 02:30:00
1,3,0.0,0.0,266.7232666015625,110.24748992919922,266.7232666015625,110.24748992919922,1.059999942779541,139.91998291015625,132.0,98.43160247802734,1.7179549932479858,1.862645149230957e-07,1997-11-03 02:35:00
2,2,22.00065040588379,12.700000762939453,40.0,50.0,17.99934959411621,37.29999923706055,1.0427836179733276,137.64744567871094,132.0,92.9849624633789,1.622893214225769,0.016024282202124596,1997-11-03 02:35:00
3,1,2.4332516193389893,1.2000000476837158,0.0,0.0,-2.4332516193389893,-1.2000000476837158,1.0203710794448853,134.68898010253906,132.0,90.77432250976562,1.5843102931976318,4.924292807118036e-05,1997-11-03 02:35:00
4,1,7.705296516418457,1.600000023841858,0.0,0.0,-7.705296516418457,-1.600000023841858,1.0113635063171387,133.49998474121094,132.0,88.9918441772461,1.553200125694275,0.0007224163273349404,1997-11-03 02:35:00
5,2,95.505126953125,19.0,0.0,37.766380310058594,-95.505126953125,18.766380310058594,1.0099999904632568,133.32000732421875,132.0,84.0307846069336,1.4666132926940918,0.0010252001229673624,1997-11-03 02:35:00
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0099828243255615,133.31773376464844,132.0,87.18160247802734,1.5216054916381836,0.0010413608979433775,1997-11-03 02:35:00
7,1,23.115890502929688,10.899999618530273,0.0,0.0,-23.115890502929688,-10.899999618530273,1.0021592378616333,132.28501892089844,132.0,85.35205078125,1.4896737337112427,7.596510113216937e-05,1997-11-03 02:35:00
8,2,30.415647506713867,30.000001907348633,0.0,38.068111419677734,-30.415647506713867,8.068109512329102,1.0099999904632568,133.32000732421875,132.0,86.41765594482422,1.5082720518112183,0.0001311323285335675,1997-11-03 02:35:00
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.050670862197876,1.050670862197876,1.0,84.09363555908203,1.467710256576538,5.8934987464454025e-05,1997-11-03 02:35:00
