GEN_ID,BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS,MISMATCH,PERCENT,time_s
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,6900.0
5,15,1 ,274.0,0.0,100.0,1,2.384185791015625e-05,274.0,6900.0
6,16,1 ,245.0,0.0,100.0,1,2.3914506527944468e-05,245.0,6900.0
7,18,1 ,144.0,0.0,100.0,1,1.4901161193847656e-06,144.0,6900.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,6900.0
9,22,1 ,150.0,124.9228744506836,100.0,1,0.0,195.20687866210938,6900.0
10,23,1 ,200.0,0.0,100.0,1,4.214684850012418e-06,200.0,6900.0
11,25,G1,0.01683863252401352,11.081048011779785,1.0,1,0.0,1108.1060791015625,6900.0
0,1,1 ,35.903228759765625,60.86677169799805,100.0,1,9.0640223788796e-06,70.66686248779297,7200.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,7200.0
2,7,1 ,64.0,0.0,100.0,1,0.0,64.0,7200.0
3,13,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,7200.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,7200.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,7200.0
6,16,1 ,245.0,0.0,100.0,1,2.091477654175833e-05,245.0,7200.0
7,18,1 ,144.0,0.0,100.0,1,2.2351741790771484e-06,144.0,7200.0
8,21,1 ,294.0,0.0,100.0,1,5.9604644775390625e-06,294.0,7200.0
9,22,1 ,150.0,125.28791809082031,100.0,1,5.9604644775390625e-06,195.44068908691406,7200.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,7200.0
11,25,G1,0.014975876547396183,11.102442741394043,1.0,1,0.0,1110.245361328125,7200.0
0,1,1 ,38.55436706542969,59.28982925415039,100.0,1,6.664001830358757e-06,70.72286224365234,7500.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,7500.0
2,7,1 ,64.0,0.0,100.0,1,5.960509952274151e-06,64.0,7500.0
3,13,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,7500.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,7500.0
5,15,1 ,274.0,0.0,100.0,1,2.425733327982016e-05,274.0,7500.0
6,16,1 ,245.0,0.0,100.0,1,1.4919775821908843e-05,245.0,7500.0
7,18,1 ,144.0,0.0,100.0,1,3.725290298461914e-07,144.0,7500.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,7500.0
9,22,1 ,150.0,124.5926513671875,100.0,1,5.9604644775390625e-06,194.99571228027344,7500.0
10,23,1 ,200.0,0.0,100.0,1,0.0,200.0,7500.0
11,25,G1,0.01990896835923195,11.070555686950684,1.0,1,5.9604644775390625e-06,1107.0572509765625,7500.0
0,1,1 ,38.62673568725586,59.328372955322266,100.0,1,2.9802322387695312e-06,70.79463195800781,7800.0
