BUS_ID,BUS_ID,BUS_TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,time_s
1,2,2,98.7218246459961,20.0,67.0,0.0,-31.721824645996094,-20.0,0.998532235622406,137.79745483398438,138.0,-0.018167026340961456,-0.0003170743293594569,0.0,32100.0
2,3,1,91.49595642089844,19.0,0.0,0.0,-91.49595642089844,-19.0,0.9106261730194092,125.66641235351562,138.0,8.375753402709961,0.14618442952632904,2.9802322387695312e-06,32100.0
3,4,1,75.27686309814453,15.000000953674316,0.0,0.0,-75.27686309814453,-15.000000953674316,0.9260914921760559,127.80062866210938,138.0,-1.238113284111023,-0.021609146147966385,0.0,32100.0
4,5,1,72.42007446289062,14.0,0.0,0.0,-72.42007446289062,-14.0,0.9595457315444946,132.4173126220703,138.0,-0.9464149475097656,-0.01651805080473423,0.0,32100.0
5,6,1,69.53470611572266,14.0,0.0,0.0,-69.53470611572266,-14.0,0.9661904573440552,133.33428955078125,138.0,-0.7818031907081604,-0.013645035214722157,9.215858881361783e-06,32100.0
6,7,2,63.08204650878906,13.0,64.0,0.0,0.9179534912109375,-13.0,1.0,138.0,138.0,-3.7727813720703125,-0.06584743410348892,5.960566795693012e-06,32100.0
7,8,1,86.49954223632812,18.0,0.0,0.0,-86.49954223632812,-18.0,0.953339159488678,219.26800537109375,230.0,-3.070056200027466,-0.0535825714468956,1.0302755981683731e-06,32100.0
8,9,1,177.9281463623047,36.0,0.0,0.0,-177.9281463623047,-36.0,0.9038840532302856,124.73600006103516,138.0,2.9051785469055176,0.05070491507649422,8.429369700024836e-06,32100.0
9,10,1,101.70701599121094,23.0,0.0,0.0,-101.70701599121094,-23.0,0.9460676908493042,130.55734252929688,138.0,1.8973780870437622,0.033115483820438385,7.450580596923828e-06,32100.0
10,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9002687931060791,207.06182861328125,230.0,9.485967636108398,0.16556130349636078,0.0,32100.0
11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9060474634170532,208.3909149169922,230.0,8.749176025390625,0.15270186960697174,2.384185791015625e-05,32100.0
12,13,2,132.3999481201172,27.000001907348633,200.0,0.0,67.60005187988281,-27.000001907348633,0.9016565084457397,207.38099670410156,230.0,11.876201629638672,0.20727874338626862,1.4901161193847656e-06,32100.0
13,14,2,93.6083984375,20.0,0.0,0.0,-93.6083984375,-20.0,0.893524169921875,205.51055908203125,230.0,14.813530921936035,0.25854480266571045,1.1920928955078125e-05,32100.0
14,15,2,161.07916259765625,32.0,274.0,0.0,112.92083740234375,-32.0,0.9214648008346558,211.93690490722656,230.0,28.0710391998291,0.4899318814277649,4.470348358154297e-06,32100.0
15,16,2,102.13584899902344,20.0,245.0,0.0,142.86415100097656,-20.0,0.9093804359436035,209.15750122070312,230.0,22.255626678466797,0.3884338438510895,3.0034250357857672e-06,32100.0
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9304746389389038,214.00917053222656,230.0,26.909765243530273,0.4696638584136963,5.9604644775390625e-06,32100.0
17,18,2,164.9346923828125,34.0,144.0,0.0,-20.9346923828125,-34.0,0.9333608746528625,214.67300415039062,230.0,28.646278381347656,0.4999716877937317,2.2351741790771484e-06,32100.0
18,19,1,91.84373474121094,18.0,0.0,0.0,-91.84373474121094,-18.0,0.9044959545135498,208.03407287597656,230.0,19.253034591674805,0.33602872490882874,0.0,32100.0
19,20,1,66.06986236572266,13.0,0.0,0.0,-66.06986236572266,-13.0,0.9060627222061157,208.39442443847656,230.0,17.914894104003906,0.31267377734184265,1.4901161193847656e-06,32100.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9411519169807434,216.46493530273438,230.0,30.341169357299805,0.5295531153678894,2.4027400286286138e-05,32100.0
21,22,2,0.0,0.0,150.0,122.62744903564453,150.0,122.62744903564453,1.0,230.0,230.0,32.36702346801758,0.5649109482765198,5.9604644775390625e-06,32100.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.9083826541900635,208.92800903320312,230.0,17.682737350463867,0.308621883392334,2.9802322387695312e-06,32100.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8990241885185242,206.7755584716797,230.0,20.620681762695312,0.3598986566066742,3.725290298461914e-07,32100.0
24,25,2,0.0,0.0,0.1028933897614479,88.40802764892578,0.1028933897614479,88.40802764892578,1.0,138.0,138.0,-3.7727813720703125,-0.06584743410348892,0.0,32100.0
0,1,3,0.0,0.0,51.20121383666992,54.57125473022461,51.20121383666992,54.57125473022461,1.0,138.0,138.0,0.0,0.0,5.9604644775390625e-06,32400.0
1,2,2,98.8665771484375,20.0,67.0,0.0,-31.8665771484375,-20.0,0.9985327124595642,137.79751586914062,138.0,-0.017720269039273262,-0.0003092769184149802,5.9604644775390625e-06,32400.0
2,3,1,91.4707260131836,19.0,0.0,0.0,-91.4707260131836,-19.0,0.9104462265968323,125.6415786743164,138.0,8.416618347167969,0.14689765870571136,6.664001830358757e-06,32400.0
3,4,1,74.96849060058594,15.000000953674316,0.0,0.0,-74.96849060058594,-15.000000953674316,0.9260551929473877,127.79561614990234,138.0,-1.2055928707122803,-0.02104155719280243,0.0,32400.0
4,5,1,72.21720123291016,14.0,0.0,0.0,-72.21720123291016,-14.0,0.9595059752464294,132.4118194580078,138.0,-0.9232690930366516,-0.01611408032476902,0.0,32400.0
